credit,debit,date,l,s,d
30,84,1594-09-05,62,7,6
32,84,1594-09-05,72,14,2
67,84,1594-09-05,76,11,0
30,84,1594-09-05,767,13,11
84,17,1594-09-05,78,11,10
67,84,1594-09-05,81,19,3
30,84,1594-09-05,860,10,0
84,30,1594-09-05,87,13,3
84,101,1594-09-05,9,1,0
84,61,1594-09-05,92,7,1
1,85,1582-11-08,100,0,0
2,85,1583-11-04,0,14,7
85,165,1583-11-23,100,0,0
1,2,1582-11-08,291,18,5
1,35,1582-11-08,66,18,5
2,35,1582-11-26,200,2,7
2,35,1582-12-11,0,10,0
35,60,1583-01-06,13,6,11
47,35,1583-01-06,5,5,7
66,35,1583-01-10,0,2,3
35,73,1583-01-15,2,10,0
35,103,1583-01-17,3,6,3
2,35,1583-05-13,0,15,0
55,35,1583-06-29,4,2,10
79,35,1583-08-01,3,12,0
24,35,1583-11-16,1,16,3
35,66,1583-12-28,3,3,0
26,2,1584-01-14,158,15,0
26,2,1584-01-21,160,8,4
26,2,1584-03-15,236,5,0
26,2,1584-01-27,240,12,6
26,2,1584-04-21,157,5,10
26,2,1583-07-02,80,0,0
26,2,1584-01-06,158,10,10
26,2,1583-05-25,160,8,4
26,2,1583-12-01,312,18,4
26,2,1583-02-03,197,18,4
26,2,1583-06-24,404,3,4
26,2,1583-10-06,400,0,0
26,2,1583-12-15,118,6,2
26,2,1583-07-16,161,13,4
26,2,1583-12-28,156,13,4
26,2,1583-05-03,24,10,9
26,2,1583-06-02,160,8,4
26,2,1583-06-10,192,10,0
26,2,1583-06-17,241,17,6
26,2,1583-06-28,127,19,7
26,2,1583-03-12,163,6,8
26,2,1583-12-14,162,18,4
26,2,1583-03-31,246,5,0
26,2,1583-06-28,242,10,0
26,96,1583-02-05,33,12,11
2,26,1583-03-12,33,12,11
26,2,1583-04-28,173,3,2
26,2,1583-10-04,421,10,0
26,2,1583-12-05,278,0,2
26,2,1584-09-07,78,2,8
26,2,1584-01-14,234,7,6
26,2,1583-05-14,15,16,8
26,2,1583-07-29,32,8,4
26,2,1583-09-06,16,1,8
26,156,1583-04-01,287,5,10
26,2,1583-09-19,158,2,6
26,2,1583-11-10,163,6,8
26,2,1583-11-18,238,15,0
26,2,1582-12-20,246,17,6
26,2,1583-01-04,164,3,4
26,2,1583-12-26,262,9,0
26,2,1583-12-14,116,12,0
26,2,1584-01-04,79,7,6
26,2,1584-01-22,77,18,4
26,2,1584-01-04,158,10,10
26,2,1584-01-04,158,15,0
26,2,1584-04-21,157,10,0
2,32,1583-06-28,6,10,8
55,32,1583-06-29,2,5,5
87,167,1584-03-27,6,11,8
164,70,1583-01-15,8,13,4
165,70,1583-08-25,53,7,11
123,89,1583-01-31,52,3,4
89,123,1584-01-07,52,3,4
123,90,1583-01-31,36,19,3
2,90,1584-01-07,100,0,0
90,123,1584-01-07,139,14,3
123,91,1583-01-31,35,9,2
2,91,1584-01-07,100,0,0
91,123,1584-01-07,135,9,2
123,92,1583-01-31,38,15,8
2,92,1584-01-07,100,0,0
92,123,1584-01-07,38,15,8
92,123,1584-03-22,100,0,0
123,77,1583-01-21,34,1,5
2,77,1584-01-07,100,0,0
77,123,1584-01-07,134,1,5
123,93,1583-01-21,38,3,8
2,93,1584-01-07,100,0,0
93,123,1584-01-07,138,3,8
123,94,1583-01-21,38,9,3
2,94,1584-01-07,100,0,0
94,123,1584-01-07,138,9,3
123,95,1583-01-21,37,11,2
2,95,1584-01-07,100,0,0
95,123,1584-01-07,137,11,2
123,89,1583-01-31,11,11,5
78,89,1583-01-31,2,3,4
35,89,1583-01-31,32,3,0
17,89,1583-01-31,37,16,6.5
53,89,1583-01-31,56,11,8
89,42,1583-11-16,16,13,4
26,2,1583-02-05,120,0,0
26,2,1583-02-05,6,5,0
26,96,1583-03-12,100,6,3
26,98,1583-03-23,362,8,0
26,2,1583-03-23,33,6,8
26,2,1583-02-09,400,0,0
2,97,1583-02-11,2,0,0
2,97,1583-03-23,4,0,0
2,64,1583-02-16,9,2,8
2,64,1583-07-06,8,6,8
2,64,1583-09-22,124,18,4
26,2,1583-04-14,165,0,0
26,2,1583-04-29,157,18,4
26,2,1583-06-04,162,1,8
26,2,1583-10-05,160,16,8
26,156,1583-04-05,100,0,0
26,2,1583-04-08,105,4,2
26,2,1583-12-14,157,15,6
26,2,1583-04-06,2,1,8
26,2,1583-06-21,242,10,0
26,2,1583-04-05,46,19,2
26,2,1583-11-28,156,9,2
26,2,1583-04-05,152,6,2
26,2,1583-05-06,287,5,10
2,26,1583-04-01,18,12,11
98,2,1583-03-23,362,8,0
26,2,1583-04-30,126,14,4
26,2,1583-06-07,162,1,8
26,2,1583-11-28,156,13,4
83,26,1583-05-12,15,16,8
83,26,1583-05-13,242,10,0
83,26,1583-05-13,323,15,0
83,26,1583-06-04,243,2,6
83,26,1583-06-14,32,8,4
83,26,1583-06-14,546,17,1
174,83,1583-07-26,1,2,6
83,174,1583-07-26,222,16,0
83,174,1583-07-26,75,5,4
26,83,1583-07-30,31,5,0
83,84,1583-07-30,810,16,6
83,26,1583-08-07,155,15,11
83,26,1583-08-07,16,1,8
83,26,1583-08-07,5,0,6
35,83,1583-08-09,256,2,0
83,26,1583-08-26,172,3,10
83,26,1583-08-26,249,5,10
83,26,1583-08-26,400,0,0
76,83,1583-08-31,196,18,6
165,83,1583-08-31,93,6,2
26,83,1583-09-19,243,2,6
84,83,1583-09-19,5180,4,1
26,83,1583-09-19,546,17,1
83,26,1583-10-01,191,13,8
83,26,1583-10-01,278,0,2
83,26,1583-10-28,118,6,2
83,26,1583-10-28,262,8,11
83,26,1583-10-30,116,12,0
83,26,1583-10-30,157,15,6
83,26,1583-11-10,313,19,2
83,26,1583-11-28,234,7,6
83,70,1583-12-15,4,3,4
83,193,1583-12-15,4,3,4
83,65,1583-12-15,8,6,8
83,26,1583-12-28,113,18,1
83,26,1583-12-28,194,5,5
17,83,1583-12-28,640,13,6
83,84,1584-01-27,383,6,8
83,26,1584-02-16,154,3,4
83,84,1584-02-16,192,1,3
83,26,1584-02-16,230,1,10
83,26,1584-03-15,270,13,4
83,88,1584-03-15,29,12,0
83,26,1584-03-15,387,14,11
83,73,1584-03-27,200,0,0
83,26,1584-03-27,31,0,0
83,26,1584-03-27,512,13,9
83,26,1584-04-15,196,7,1
83,26,1584-04-29,134,2,7
83,26,1584-05-08,312,2,3
83,26,1584-05-08,79,8,7
83,26,1584-06-02,129,3,0
83,26,1584-06-02,170,16,8
83,26,1584-06-02,253,15,0
83,26,1584-06-02,406,5,0
83,26,1584-06-30,699,13,9
83,26,1584-06-30,78,2,8
83,26,1584-08-17,160,8,4
83,26,1584-08-17,280,14,7
83,26,1584-08-17,305,15,5
83,26,1584-09-15,395,17,11
83,84,1584-11-04,196,19,7
83,84,1584-11-04,393,19,2
83,84,1584-11-04,472,15,0
83,84,1584-11-11,709,4,8
83,26,1584-11-20,397,18,4
76,83,1584-11-22,26,17,9
83,99,1584-11-22,28,11,8
76,83,1584-11-22,290,11,11
83,151,1584-11-22,43,8,0
83,84,1584-12-02,1018,7,8
83,84,1584-12-29,418,16,10
83,84,1585-01-01,1108,2,11
165,83,1585-01-28,1,5,6
83,26,1585-01-28,32,13,4
83,84,1585-02-28,389,13,0
102,83,1594-09-05,164,18,4
102,83,1594-09-05,1849,10,0
102,83,1594-09-05,3827,1,4
76,83,1594-09-05,44,14,7
83,214,1594-09-05,45,6,8
83,2,1594-09-12,2020,16,8
83,2,1594-09-12,232,10,0
83,2,1594-09-13,235,0,0
83,2,1594-09-13,395,16,8
83,26,1594-12-16,305,6,8
26,2,1583-07-02,161,17,6
26,2,1583-12-13,157,1,8
26,2,1583-06-18,323,15,0
26,2,1583-09-24,158,2,6
26,2,1583-07-23,162,1,8
26,2,1583-10-08,315,16,8
26,2,1583-07-21,5,0,0
26,2,1583-08-15,178,5,10
26,2,1583-07-06,160,8,4
26,2,1583-07-05,160,8,4
26,165,1583-07-03,160,8,4
26,2,1583-07-06,0,4,2
26,2,1583-07-30,243,15,0
26,2,1583-07-04,183,6,8
26,2,1583-11-11,191,13,7
26,2,1583-07-12,80,1,0
29,17,1583-07-02,19,19,5
26,2,1583-11-28,159,11,8
26,2,1583-08-13,159,3,4
26,2,1583-11-16,159,11,8
26,2,1583-08-11,159,3,4
26,2,1583-10-18,157,18,4
26,2,1583-11-05,94,7,6
2,100,1583-07-28,22,0,0
26,165,1583-09-19,346,12,4
26,2,1583-09-23,265,0,8
35,101,1583-08-09,340,13,6
57,101,1594-09-05,165,13,2
101,57,1594-09-05,4,10,6
164,102,1583-07-30,13,14,10
2,103,1583-08-20,22,1,2
2,103,1583-10-03,12,11,6
98,103,1594-10-15,16,6,0
103,60,1594-10-15,23,4,0.666666666666667
103,98,1594-10-15,59,18,3.5
26,2,1583-10-08,159,3,4
26,2,1583-10-26,160,0,0
26,2,1584-01-17,160,8,4
26,2,1583-11-08,159,11,8
26,2,1583-12-05,158,15,0
26,2,1584-01-06,158,6,8
26,2,1584-03-05,157,5,10
164,30,1584-03-25,23,4,8
30,2,1584-07-30,10,12,2
30,2,1594-09-12,648,2,3
17,50,1583-12-11,0,3,1.5
32,213,1584-07-06,88,0,0
57,32,1594-09-05,187,18,7
32,57,1594-09-05,8,13,5
2,32,1584-04-28,4,6,4
32,210,1584-04-29,193,6,10
32,211,1584-05-16,204,8,0
2,32,1584-06-06,1,14,0
17,32,1584-07-30,35,15,0
26,2,1583-10-15,316,3,7
26,2,1583-12-01,78,4,7
26,2,1583-12-03,156,9,2
26,2,1583-12-03,156,9,2
26,2,1583-12-03,156,9,2
26,2,1584-01-03,158,6,8
26,2,1583-12-29,313,19,2
26,2,1584-01-03,158,15,0
26,2,1584-01-14,158,15,0
26,2,1584-07-30,157,5,10
1,104,1582-11-08,39,19,0
104,2,1594-09-13,9,0,0
2,104,1594-09-14,1,11,6
1,105,1582-11-08,69,6,8
105,2,1594-09-13,4,6,8
2,105,1594-09-14,0,11,6.5
1,88,1582-11-08,5186,3,4.5
88,60,1583-09-13,100,0,0
177,88,1583-11-16,74,6,8
2,88,1594-09-14,400,0,0
1,106,1582-11-08,117,6,8
1,106,1582-11-08,85,6,8
106,2,1594-09-12,22,19,10
106,2,1594-09-13,16,0,0
1,106,1582-11-08,425,0,0
2,106,1594-09-14,0,1,8
2,106,1594-09-14,0,11,6
2,106,1594-09-14,0,8,4
2,106,1594-09-14,3,2,8
2,106,1594-09-14,6,4,5.5
106,220,1594-09-20,10,8,7.5
106,220,1594-09-20,400,0,0
1,106,1582-11-08,283,6,8
106,2,1594-09-13,50,0,0
106,2,1594-09-13,68,15,6.66666666666667
1,106,1582-11-08,283,0,0
106,2,1594-09-12,12,13,4
106,2,1594-09-12,14,8,9.33333333333333
106,2,1594-09-12,16,13,4
106,2,1594-09-12,55,19,8.66666666666667
106,2,1594-09-13,16,13,4
106,2,1594-09-13,16,13,4
106,2,1594-09-13,16,2,3
106,2,1594-09-13,33,6,8
1,107,1582-11-08,542,6,10
108,1,1582-11-08,5,9,4
109,1,1582-11-08,15,0,0
110,1,1582-11-08,18,15,5
111,1,1582-11-08,15,19,2
112,1,1582-11-08,0,9,0
113,1,1582-11-08,22,7,6
113,1,1582-11-08,18,13,10
113,1,1582-11-08,6,17,5
114,1,1582-11-08,2,13,3
115,1,1582-11-08,7,0,0
116,1,1582-11-08,1,6,0
117,1,1582-11-08,73,0,0
2,117,1583-08-01,4,3,4
2,117,1583-08-01,75,13,2
118,1,1582-11-08,67,8,11
119,1,1582-11-08,12,7,9
120,1,1582-11-08,2,6,8
121,1,1582-11-08,16,15,6
122,1,1582-11-08,5,10,8
91,1,1582-11-08,3041,13,4
35,91,1583-01-06,9,6,4
91,90,1583-01-31,20,6,2
17,91,1583-01-31,7,14,8
90,91,1583-07-05,20,2,6
2,91,1583-10-18,16,13,4
2,91,1583-12-12,0,5,8
91,28,1583-12-15,990,12,2
2,91,1584-01-07,400,0,0
2,91,1584-03-15,350,0,0
2,91,1584-03-22,150,0,0
84,91,1584-03-22,2015,0,0
60,91,1584-03-30,101,3,7
90,91,1584-11-24,200,0,0
91,41,1594-09-20,14,18,4
91,123,1594-09-20,191,7,0.875
91,187,1594-09-20,2,0,0
91,28,1594-10-01,128,15,3.5
91,84,1594-10-01,155,14,8
91,88,1594-10-01,41,14,8.5
91,28,1594-10-01,79,17,6
19,91,1594-10-04,10,10,3.75
55,91,1594-10-04,10,7,11
83,91,1594-10-04,1517,3,9.29166666666667
84,91,1594-10-04,180,1,5.33333333333333
77,91,1594-10-04,20,5,6
88,91,1594-10-04,51,5,2
60,91,1594-10-04,8,18,11
220,91,1594-12-15,107,9,5.5
106,91,1594-12-15,115,10,0
91,88,1594-12-15,3,6,8
90,91,1594-12-15,3,6,8
88,91,1594-12-15,50,0,0
95,1,1582-11-08,5327,6,8
2,95,1582-12-13,6,0,0
35,95,1583-01-06,11,12,5
2,95,1583-01-22,6,0,0
95,90,1583-01-31,9,6,2
2,95,1583-02-16,7,2,6
2,95,1583-07-11,1,6,8
2,95,1583-08-02,6,0,0
2,95,1583-09-23,10,0,0
2,95,1583-10-06,16,0,0
2,95,1583-10-12,20,0,0
2,95,1583-11-05,23,18,9
95,42,1583-11-16,16,13,4
95,28,1583-12-15,1732,4,2.5
84,95,1583-12-15,18,12,0
95,169,1583-12-15,9,15,0
2,95,1583-12-21,22,13,4
2,95,1584-01-07,600,0,0
2,95,1584-01-21,0,11,0
2,95,1584-03-15,1051,15,6
84,95,1584-03-22,3565,0,0
123,1,1582-11-08,5333,6,8
2,123,1582-12-01,11,5,8
2,123,1582-12-24,6,0,0
35,123,1583-01-06,11,12,5
2,123,1583-01-07,8,18,8
2,123,1583-02-18,0,5,4
2,123,1583-02-18,1,0,0
2,123,1583-02-18,2,1,2
2,123,1583-02-18,6,6,6
123,90,1583-02-21,2,15,0
123,2,1583-02-21,3,14,7
2,123,1583-07-11,2,18,8
2,123,1583-11-02,1,0,0
2,123,1583-11-15,12,0,0
2,123,1583-11-24,16,13,4
2,123,1583-12-08,3,6,0
123,28,1583-12-15,1732,4,2.5
123,169,1583-12-15,9,15,0
98,1,1582-11-08,56,6,3
124,1,1582-11-08,82,6,8
2,124,1583-02-01,85,12,10
125,1,1582-11-08,49,0,3
126,1,1582-11-08,70,2,6
127,1,1582-11-08,33,18,4
128,1,1582-11-08,200,0,0
129,1,1582-11-08,9,5,0
130,1,1582-11-08,108,10,0
2,130,1583-05-10,6,5,0
2,130,1583-12-12,107,11,6
131,1,1582-11-08,106,5,0
2,131,1583-02-19,6,5,0
2,131,1583-11-28,106,5,0
132,1,1582-11-08,19,1,7
133,1,1582-11-08,28,6,5
2,133,1594-09-13,24,0,0
91,1,1582-11-08,149,6,8
134,1,1582-11-08,77,16,4.5
2,134,1583-11-28,82,5,7
135,1,1582-11-08,353,1,10
2,135,1582-11-28,10,0,0
164,135,1583-01-15,0,7,10
2,135,1583-02-02,20,0,0
2,135,1583-03-25,15,0,0
2,135,1583-07-06,12,0,0
2,135,1583-08-08,80,0,0
2,135,1583-08-20,20,0,0
2,135,1583-09-27,16,13,4
2,135,1583-10-21,94,14,0
76,1,1582-11-08,483,1,3.5
76,31,1583-01-06,0,15,0
164,76,1583-03-15,0,5,10
164,76,1583-03-15,27,10,8
27,76,1583-03-27,30,12,2
164,76,1583-03-28,1,15,8
164,76,1583-03-28,13,15,1
2,76,1584-01-21,4,10,4
73,76,1584-02-22,11,9,11
73,76,1584-02-22,162,4,11
76,66,1584-02-22,17,0,2
76,70,1584-02-22,24,13,10.5
96,76,1584-02-22,44,10,4
72,76,1584-02-22,50,11,5
76,57,1584-02-22,6,16,6
165,76,1584-07-14,274,8,2
164,76,1584-07-26,0,11,0
73,76,1585-01-28,16,16,6
2,76,1594-09-13,11,14,0
2,76,1594-09-13,63,15,0
2,76,1594-09-13,67,3,9
73,76,1594-09-20,47,13,1
136,1,1582-11-08,1600,0,0
137,1,1582-11-08,48,19,2
2,137,1583-09-29,62,2,8
102,1,1582-11-08,54,0,4.5
2,102,1584-05-07,1,10,4
2,102,1584-08-13,33,6,8
85,1,1582-11-08,25,0,0
138,1,1582-11-08,336,15,5.5
88,138,1594-09-20,336,15,5.5
139,1,1582-11-08,0,2,0
140,1,1582-11-08,4,12,8
141,1,1582-11-08,200,0,0
2,141,1583-10-03,433,6,8
142,1,1582-11-08,133,6,6
142,76,1583-06-28,8,6,8
2,142,1583-07-30,8,6,8
2,142,1583-10-06,135,8,4
143,1,1582-11-08,67,8,5
2,143,1583-10-28,70,18,8
144,1,1582-11-08,106,5,0
2,144,1583-10-03,111,14,6
134,1,1582-11-08,105,1,8.5
2,134,1583-12-12,105,1,8.5
145,1,1582-11-08,142,9,6
152,145,1594-09-20,142,9,6
146,1,1582-11-08,207,13,1
147,1,1582-11-08,580,19,2.5
14,1,1582-11-08,133,6,8
2,14,1583-08-01,8,6,8
2,14,1583-10-03,136,16,1
92,1,1582-11-08,82,13,0
35,92,1583-01-06,25,7,0
2,92,1583-06-28,2,0,0
92,42,1583-11-16,16,13,4
2,92,1584-03-15,71,19,4
94,1,1582-11-08,100,0,0
94,42,1583-11-16,16,13,4
2,94,1584-01-04,116,13,4
89,1,1582-11-08,113,2,10
35,89,1583-01-06,20,5,4
2,89,1583-03-26,100,0,0
2,89,1583-04-01,166,13,4
2,89,1583-06-28,2,0,0
2,89,1583-09-27,1030,0,0
2,89,1583-10-26,32,4,5.5
89,2,1583-11-28,32,4,5.5
102,1,1582-11-08,200,0,0
2,102,1583-08-20,2,4,0
2,102,1583-10-09,0,6,8
2,102,1594-09-13,0,18,8
2,102,1594-09-13,100,3,4
2,102,1594-09-13,16,18,4
2,102,1594-09-13,17,16,7
2,102,1594-09-13,178,3,4
2,102,1594-09-13,20,5,0
2,102,1594-09-13,4,3,4
2,102,1594-09-13,42,16,4
2,102,1594-09-14,1,11,6
2,102,1594-09-14,2,0,0
2,102,1594-09-14,2,0,0
2,102,1594-09-14,3,0,0
2,102,1594-09-14,5,10,2
102,132,1594-09-20,19,1,7
102,133,1594-09-20,4,6,5
88,1,1582-11-08,41112,10,5
9,88,1583-12-26,130,10,0
9,88,1583-12-26,317,11,2
88,128,1584-11-22,200,0,0
88,167,1584-11-22,28,2,7
106,88,1584-11-22,3,6,8
42,88,1584-11-22,312,10,0
2,88,1594-09-14,49,11,0
88,9,1594-09-15,11,4,1
88,60,1594-09-15,14,3,4
20,88,1594-09-15,58,3,10
69,88,1594-09-15,6,10,3
54,88,1594-09-15,8,15,7
38,88,1594-09-15,91,11,5
10,88,1594-09-20,0,0,1
12,88,1594-09-20,0,0,1
88,87,1594-09-20,0,11,8
88,176,1594-09-20,0,4,0
80,88,1594-09-20,1,14,0
2,88,1594-09-20,100,0,0
81,88,1594-09-20,11,17,6
88,106,1594-09-20,118,15,6.66666666666667
88,119,1594-09-20,12,7,9
88,104,1594-09-20,15,9,6
88,121,1594-09-20,16,15,6
88,106,1594-09-20,166,4,1
212,88,1594-09-20,17,7,10
88,120,1594-09-20,2,6,8
45,88,1594-09-20,35,14,5
88,106,1594-09-20,38,19,10
88,125,1594-09-20,49,0,3
88,122,1594-09-20,5,10,8
105,88,1594-09-20,65,11,6.5
148,1,1582-11-08,50,0,0
2,148,1594-09-15,50,0,0
149,1,1582-11-08,0,14,0
149,35,1583-01-07,10,0,0
2,149,1583-05-03,10,0,0
2,149,1583-05-25,0,4,0
150,1,1582-11-08,300,0,0
2,150,1583-09-07,108,16,3
151,1,1582-11-08,3,8,0
9,1,1582-11-08,11,4,1
90,1,1582-11-08,4945,10,7
90,28,1583-12-15,1609,15,6
2,90,1584-01-07,700,0,0
2,90,1584-03-15,1145,10,7
84,90,1584-03-22,3100,0,0
91,90,1584-11-27,200,0,0
90,91,1584-11-27,200,0,0
26,90,1584-11-27,250,0,0
90,123,1594-09-30,138,12,7.375
90,41,1594-09-30,14,18,4
90,187,1594-09-30,2,0,0
90,28,1594-10-01,128,15,3.5
90,28,1594-10-01,129,10,5
57,90,1594-10-01,242,10,1
55,90,1594-10-04,12,17,6
19,90,1594-10-04,13,0,4.75
84,90,1594-10-04,180,1,5.33333333333333
90,84,1594-10-04,192,15,9
164,90,1594-10-04,23,15,3.5
60,90,1594-10-04,23,4,0.666666666666667
90,73,1594-10-04,24,15,10
90,88,1594-10-04,41,14,8.5
88,90,1594-10-04,83,2,5
220,90,1594-12-15,107,9,5.5
106,90,1594-12-15,115,10,0
90,103,1594-12-15,40,10,3.66666666666667
88,90,1594-12-15,50,0,0
65,90,1594-12-16,17,10,5.5
2,90,1594-12-16,524,12,10.1666666666667
152,1,1582-11-08,328,10,10
2,152,1583-07-02,14,16,8
2,152,1583-07-21,5,3,4
2,152,1583-07-23,0,6,8
2,152,1583-08-20,0,10,11
2,152,1583-08-20,1,9,8
2,152,1583-08-20,2,2,6
2,152,1583-09-07,6,8,9
2,152,1583-10-21,25,2,9
2,152,1584-03-05,10,0,0
2,152,1584-04-22,2,0,0
2,152,1584-04-23,4,19,6
2,152,1584-06-08,1,9,8
2,152,1584-06-28,0,13,4
152,2,1584-06-28,8,16,7
2,152,1584-10-04,20,0,0
2,152,1584-10-15,0,14,8
2,152,1584-12-16,20,0,0
2,152,1584-12-16,5,9,0
2,152,1584-12-28,16,13,4
2,152,1584-12-28,2,0,0
2,152,1585-01-28,25,0,0
2,152,1594-09-14,1,13,6
153,1,1582-11-08,8,11,10
154,1,1582-11-08,100,0,0
2,154,1583-05-21,100,0,0
155,1,1582-11-08,66,3,4
2,155,1583-12-06,66,3,4
156,1,1582-11-08,425,0,0
156,76,1583-02-12,18,18,9
2,156,1583-02-12,25,0,0
2,156,1583-04-05,12,14,2
2,156,1583-04-07,18,15,0
107,1,1582-11-08,303,1,9.5
2,107,1583-03-12,100,0,0
160,107,1583-09-19,26,12,11
77,1,1582-11-08,1,0,0
157,1,1582-11-08,0,15,1
2,157,1584-01-28,0,15,1
158,1,1582-11-08,100,0,0
2,158,1583-09-19,100,0,0
2,158,1583-09-19,23,8,9
38,1,1582-11-08,1,4,4
9,1,1582-11-08,11,11,1
159,1,1582-11-08,0,0,10
160,1,1582-11-08,294,4,2
2,160,1582-12-01,320,17,1
137,1,1582-11-08,100,0,0
145,1,1582-11-08,1453,11,7
145,28,1585-01-28,54,6,10
145,28,1594-09-15,543,8,4
161,1,1582-11-08,367,14,4
2,161,1583-10-03,1,18,4
2,161,1583-10-08,407,6,3
88,1,1582-11-08,448,5,3.5
88,50,1583-02-15,400,0,0
2,88,1583-05-13,159,0,3
88,181,1583-11-16,33,6,8
141,88,1583-11-16,66,13,4
88,138,1583-11-16,91,13,4
107,88,1584-02-22,23,0,0
88,2,1584-03-15,33,6,8
19,1,1582-11-08,10,3,7.5
2,19,1583-11-16,4,3,4
162,1,1582-11-08,37,6,8
2,162,1583-03-26,40,5,0
162,76,1583-04-30,2,18,4
163,1,1582-11-08,1161,19,2
2,163,1582-12-04,6,0,0
2,163,1583-09-19,257,13,11
164,1,1582-11-08,6,15,1.5
26,164,1583-01-10,175,0,0
2,164,1584-02-18,172,18,4
165,1,1582-11-08,376,11,9
2,165,1583-09-16,54,6,1
2,165,1583-09-19,500,3,3
2,165,1584-05-07,100,0,0
26,165,1584-07-20,253,15,0
2,165,1594-12-13,1,5,6
2,165,1594-12-13,131,5,0
166,1,1582-11-08,1,0,0
26,1,1582-11-08,0,5,0
26,2,1583-08-11,159,3,4
70,1,1582-11-08,0,10,0
77,1,1582-11-08,1000,0,0
77,28,1583-12-15,714,10,9
84,77,1584-03-22,1007,10,0
167,1,1582-11-08,34,14,3
168,1,1582-11-08,162,10,0
26,168,1583-03-23,130,0,0
